clip_date,date_source,date_text,song_name,song_name_source,artist,clip_kind,chapter_title,clip_title,clip_url,clip_bvid,uploader,duration,source_query,duplicate_key,duplicate_status,duplicate_of,collected_at,notes
2026-08-29,collection-title-date,2026年08月29日,泼墨漓江,collection-chapter-title,玖玲 / 冥凰 / 泠鸢yousa,collection-chapter,P11 泼墨漓江,【小松绿Viridis】20260829 歌切,https://www.bilibili.com/video/BV1gm4C65Ey6/?p=11,BV1gm4C65Ey6,心灵火Flame,04:58,心灵火Flame 08-29 全场合集（搜索定位）,2026-08-29::泼墨漓江,primary,,2026-08-29T11:30:00.000Z,弹幕证据歌升级：合集分P确认。
2026-08-29,collection-title-date,2026年08月29日,绮凝盏,collection-chapter-title,MeLo / 海伊,collection-chapter,P10 绮凝盏,【小松绿Viridis】20260829 歌切,https://www.bilibili.com/video/BV1gm4C65Ey6/?p=10,BV1gm4C65Ey6,心灵火Flame,03:24,心灵火Flame 08-29 全场合集（搜索定位）,2026-08-29::绮凝盏,primary,,2026-08-29T11:30:00.000Z,萌百核实：MeLo 作编曲、海伊Official 2019-02-08 投稿的 UTAU 中文原创曲（专辑《亚特兰蒂斯》收录）。
2026-08-29,collection-title-date,2026年08月29日,是风动,collection-chapter-title,银临 / 河图,collection-chapter,P8 是风动,【小松绿Viridis】20260829 歌切,https://www.bilibili.com/video/BV1gm4C65Ey6/?p=8,BV1gm4C65Ey6,心灵火Flame,04:49,心灵火Flame 08-29 全场合集（搜索定位）,2026-08-29::是风动,primary,,2026-08-29T11:30:00.000Z,百度百科核实：银临×河图 2017 古风单曲（银临作曲/择荇填词/灰原穷编曲，收录《蚍蜉渡海》）。
2026-08-29,collection-title-date,2026年08月29日,下个夏天的烟火,collection-chapter-title,Cidai Jun / 海伊,collection-chapter,P9 下个夏天的烟火,【小松绿Viridis】20260829 歌切,https://www.bilibili.com/video/BV1gm4C65Ey6/?p=9,BV1gm4C65Ey6,心灵火Flame,03:43,心灵火Flame 08-29 全场合集（搜索定位）,2026-08-29::下个夏天的烟火,primary,,2026-08-29T11:30:00.000Z,Vocaloid Lyrics Wiki 核实：Cidai Jun 等制作、海伊演唱，2023-07-22 投稿的中文 Vocaloid 歌。
2026-08-29,collection-title-date,2026年08月29日,夏日已所剩无几,collection-chapter-title,泠鸢yousa,collection-chapter,P12 夏日已所剩无几,【小松绿Viridis】20260829 歌切,https://www.bilibili.com/video/BV1gm4C65Ey6/?p=12,BV1gm4C65Ey6,心灵火Flame,04:32,心灵火Flame 08-29 全场合集（搜索定位）,2026-08-29::夏日已所剩无几,primary,,2026-08-29T11:30:00.000Z,萌百核实：泠鸢yousa 2016-09-15 投稿的中文原创曲（专辑《茜色诗集》收录）；对应 08-29 审计遗留的 yousa 专场段。另有小冬青Viridis 单切 BV1vc416WEqw。
2026-08-29,manual-normalized,2026-08-29（歌切内容判定）,夏日已所剩无几,title-song-name,泠鸢yousa,single,,【小松绿Viridis】夏日已所剩无几,https://www.bilibili.com/video/BV1vc416WEqw/,BV1vc416WEqw,小冬青Viridis,04:34,小松绿Viridis 搜索定位,2026-08-29::夏日已所剩无几,secondary,https://www.bilibili.com/video/BV1gm4C65Ey6/?p=12,2026-08-29T11:30:00.000Z,单曲切片佐证。
2026-08-29,cut-pubdate-match,2026-08-29,想和你迎着台风去看海,clip-title,,single,,【小松绿Viridis】《想和你迎着台风去看海》“刚想开口骂 心却跳起来”,https://www.bilibili.com/video/BV1qT4k6QEXt/,BV1qT4k6QEXt,正逢夏末秋凉,01:44,小松绿Viridis 歌切/突击的随便唱（20260829 检索定位）,2026-08-29::想和你迎着台风去看海,secondary,https://www.bilibili.com/video/BV1ta4y6VEQy/,2026-08-29T09:21:12.913Z,同场切片（歌词副标题），2026-08-29 14:34 发布（当日最早台风歌切片，演唱时段按弹幕估 00:32-00:34）。
2026-08-29,cut-desc-date,2026-08-29,想和你迎着台风去看海,clip-title,,single,,左摇右晃小甜歌《想和你迎着台风去看海》【小松绿Viridis】,https://www.bilibili.com/video/BV1ta4y6VEQy/,BV1ta4y6VEQy,赫洛二号机,01:43,小松绿Viridis 歌切/突击的随便唱（20260829 检索定位）,2026-08-29::想和你迎着台风去看海,primary,,2026-08-29T09:21:12.913Z,切片，2026-08-29 16:10 发布，desc「8.29突击唱歌」。桑拿猫黑糖/洛天依（ACE 原创，2022-08-29 投稿，恰为直播当日周年）。
2026-08-29,collection-title-date,2026年08月29日,远旅休憩中的邂逅,collection-chapter-title,泠鸢yousa,collection-chapter,P13 远旅休憩中的邂逅,【小松绿Viridis】20260829 歌切,https://www.bilibili.com/video/BV1gm4C65Ey6/?p=13,BV1gm4C65Ey6,心灵火Flame,05:05,心灵火Flame 08-29 全场合集（搜索定位）,2026-08-29::远旅休憩中的邂逅,primary,,2026-08-29T11:30:00.000Z,核实：泠鸢yousa 歌曲（Encounters in a Long Journey's Rest）；对应 08-29 审计遗留的 yousa 专场段。
2026-08-29,cut-desc-date,2026-08-29,Talking to the Rain,clip-title,,single,,【小松绿Viridis/歌切】Talking to the Rain,https://www.bilibili.com/video/BV1Hm4y6AEC3/,BV1Hm4y6AEC3,华丽失败酱,03:37,小松绿Viridis 歌切/突击的随便唱（20260829 检索定位）,2026-08-29::Talking to the Rain,primary,,2026-08-29T09:21:12.913Z,歌切（独唱整首），2026-08-29 15:09 发布，desc 含 20260829。弹幕歌词梗实锤 01:09-01:15（「孤独的像枝堇」=歌词「孤独得像只鲸」谐音）。芹菜猪肉大馄饨/星尘海伊（中文Vocaloid传说曲）。
2026-08-29,collection-title-date,2026年08月29日,サリシノハラ,collection-chapter-title,みきとP / 初音ミク,collection-chapter,P14 サリシノハラ,【小松绿Viridis】20260829 歌切,https://www.bilibili.com/video/BV1gm4C65Ey6/?p=14,BV1gm4C65Ey6,心灵火Flame,04:28,心灵火Flame 08-29 全场合集（搜索定位）,2026-08-29::サリシノハラ,primary,,2026-08-29T11:30:00.000Z,みきとP 2013 年名曲（离去之原），初音ミク演唱。
2026-08-26,manual-normalized,2026-08-26,绿色,clip-title,陈雪凝,single,,『绿 色💚』【小松绿/四时小路/羽啾】,https://www.bilibili.com/video/BV1QG8o6xE13/,BV1QG8o6xE13,沉默环节,01:43,语音频道合唱切片（游龙287）,2026-08-26::绿色,primary,,2026-08-27T09:23:19.730Z,语音频道三人合唱《绿色》（小松绿/四时小路/羽啾），切片页名「0826 (2)(8)」，2026-08-26 投稿。直播间弹幕无歌词佐证，仅「你在后边唱歌」「一转歌回」等提示；另有同晚切片「小路和羽啾合唱《绿色》无能的小松绿只能向枝堇妈妈哭诉」（BV1cL8Z6VE6p）提示小松绿是否正式开唱存疑，待人工复核。
2026-08-23,replay-title-date,2026年08月23日21点场,吹灭小山河,danmaku-name-drop,国风堂 / 司南,single,,【小松绿Viridis/歌切】吹灭小山河,https://www.bilibili.com/video/BV11F8h6BE4d/,BV11F8h6BE4d,华丽失败酱,02:35,相关推荐挖掘,2026-08-23::吹灭小山河,primary,,2026-08-24T09:12:06.664Z,弹幕02:46:33“吹灭小山河有品”（有品=选曲品味好，指演唱中）。网易云核实：国风堂/司南《观风月·竹马篇》。已找到专门歌切 BV11F8h6BE4d（华丽失败酱，20260823）。
2026-08-23,replay-title-date,2026年08月23日21点场,多情岸,danmaku-name-drop,忘川风华录 / 洛天依,single,,【小松绿Viridis/歌切】多情岸,https://www.bilibili.com/video/BV1yw8h6TEBf/,BV1yw8h6TEBf,华丽失败酱,04:55,相关推荐挖掘,2026-08-23::多情岸,primary,,2026-08-24T09:12:06.664Z,弹幕02:40:26“多情岸是写曹植的吗”、02:40:36“多情岸，落泪了”；02:42:57“这是天依原唱吧”印证洛天依原唱。百度百科核实：忘川风华录曹植主题曲，洛天依演唱。已找到专门歌切 BV1yw8h6TEBf（华丽失败酱，20260823）。
2026-08-23,collection-title-date,2026年08月23日,光,collection-chapter-title,Kide / Ddickky / 星尘,collection-chapter,P4 光,【小松绿Viridis】20260823 歌切,https://www.bilibili.com/video/BV1m9886kEMZ/?p=4,BV1m9886kEMZ,心灵火Flame,04:10,歌切合集,2026-08-23::光,primary,,2026-08-24T16:15:30.734Z,"原曲核实：星尘「光」2021-08-12星尘诞生日5周年曲，作曲/编曲Kide、作词Ddickky（平行四界），原曲BV1K64y1z71C（04:16）；歌切04:10与原曲吻合，弹幕""星尘专场吗这是""印证。此前误记ventus/星尘Infinity，本轮修正。另有忆夏追凉单切BV1ZH8Y6wEAw（04:21，secondary）。"
2026-08-23,manual-normalized,2026-08-23（歌切内容判定）,光,title-song-name,Kide / Ddickky / 星尘,single,,【小松绿Viridis】 《光》,https://www.bilibili.com/video/BV1ZH8Y6wEAw/,BV1ZH8Y6wEAw,忆夏追凉,04:21,小松绿Viridis 光（搜索定位）,2026-08-23::光,secondary,https://www.bilibili.com/video/BV1m9886kEMZ/?p=4,2026-08-25T09:20:00.000Z,"2026-08-24 11:40(UTC+8) 发布的单曲歌切；简介提及""全力绿""与08-23场次吻合。"
2026-08-23,collection-title-date,2026年08月23日,恋苦,collection-chapter-title,月犬P / 星尘,collection-chapter,P2 恋苦,【小松绿Viridis】20260823 歌切,https://www.bilibili.com/video/BV1m9886kEMZ/?p=2,BV1m9886kEMZ,心灵火Flame,04:25,歌切合集,2026-08-23::恋苦,primary,,2026-08-24T16:15:30.734Z,萌百核实：月犬P 2022年投稿 Synthesizer V 中文原创，星尘（星尘Infinity）演唱。
2026-08-23,manual-normalized,2026-08-23（歌切内容判定）,恋苦,title-song-name,月犬P / 星尘,single,,【小松绿Viridis/自存】恋苦,https://www.bilibili.com/video/BV1QAhV6iEdA/,BV1QAhV6iEdA,FrothyWater,04:39,小松绿Viridis 恋苦（搜索定位）,2026-08-23::恋苦,secondary,https://www.bilibili.com/video/BV1m9886kEMZ/?p=2,2026-08-25T09:20:00.000Z,2026-08-25 15:44(UTC+8) 发布的单曲歌切；简介注明原曲为星尘曲（av511766981，月犬P《恋苦》），去星尘声混音。
2026-08-23,replay-title-date,2026年08月23日21点场,流霰,danmaku-name-drop,旅行的蜗牛（Snapmod）/ 星尘,single,,【小松绿Viridis/自留】流霰,https://www.bilibili.com/video/BV1Td886GEoN/,BV1Td886GEoN,超级绿考子晴川,03:55,歌切合集/单曲投稿,2026-08-23::流霰,primary,,2026-08-24T09:12:06.664Z,弹幕02:16:53“我去，流霰!”、02:17:30“特别喜欢流霰”、02:20:04“请大家去听《流霰》！超级好听”。网易云核实：旅行的蜗牛（Snapmod）2021年投稿，诗岸演唱，2022年星尘版；与弹幕“星尘连着来三首”吻合。
2026-08-23,replay-title-date,2026年08月23日21点场,栖凰,danmaku-name-drop,忘川风华录 / 星尘,single,,【小松绿Viridis】栖凰,https://www.bilibili.com/video/BV1BN8i66Ej6/,BV1BN8i66Ej6,忆夏追凉,03:49,歌切合集/单曲投稿,2026-08-23::栖凰,primary,,2026-08-24T09:12:06.664Z,弹幕02:27:01/02:28:25点名“栖凰”，02:31:18“栖凰好听捏”，02:31:42“星尘连着来三首”。百度百科/萌百核实：栖凰为忘川风华录2018年投稿、星尘演唱。
2026-08-23,replay-title-date,2026年08月23日21点场,夏恋慕,danmaku-name-drop,kobasolo / 春茶,collection-chapter,,【小松绿Viridis】20260823 歌切 P7 夏恋慕,https://www.bilibili.com/video/BV1m9886kEMZ/?p=7,BV1m9886kEMZ,心灵火Flame,04:24,歌切合集/单曲投稿,2026-08-23::夏恋慕,primary,,2026-08-24T09:12:06.664Z,弹幕02:49:34“夏恋慕神！！！”、02:49:51/02:49:58“还有夏恋慕”；02:51:42-48日文歌词行“ぽたりぽたり通る夏の日”“僕は君に恋して いいの”。网易云核实：kobasolo feat. 春茶。
2026-08-23,replay-title-date,2026年08月23日21点场,夏霞,danmaku-name-drop,あたらよ,single,,【小松绿Viridis】夏霞 / あたらよ / 可惜夜,https://www.bilibili.com/video/BV12o8866EsR/,BV12o8866EsR,哇英梨梨,03:46,歌切合集/单曲投稿,2026-08-23::夏霞,primary,,2026-08-24T09:12:06.664Z,弹幕02:54:37-02:58:23密集反应：夏霞好耶/有品/好听/真不错吧（15+条），为压轴曲；02:56:07“还有desert [哇]”疑似其后又唱了 desert（未收录，待复核）。网易云核实：あたらよ《夏霞》（2022，专辑《極夜において月は語らず》）。
2026-08-20,cut-title-date,20260820,大声钻石,collection-chapter-title,AKB48 Team SH,collection-chapter,7，《大声钻石》,【小松绿Viridis/歌回】20260820-偶像歌回？欸,https://www.bilibili.com/video/BV1WS8c6XE9w/?p=7,BV1WS8c6XE9w,我家的清风薄荷冰茶,4:00,"""小松绿Viridis/歌回"" ""20260820""",2026-08-20::大声钻石,primary,,2026-08-20T16:21:25.502Z,8/20偶像歌回弹幕分析命中：歌词弹幕确认 + 歌切合集分P章节《大声钻石》。
2026-08-20,cut-title-date,20260820,第一只小兔子,collection-chapter-title,SNH48 Team NII（AKB48 中文版）,collection-chapter,6，《第一只小兔子》,【小松绿Viridis/歌回】20260820-偶像歌回？欸,https://www.bilibili.com/video/BV1WS8c6XE9w/?p=6,BV1WS8c6XE9w,我家的清风薄荷冰茶,4:44,"""小松绿Viridis/歌回"" ""20260820""",2026-08-20::第一只小兔子,primary,,2026-08-20T16:21:25.502Z,8/20偶像歌回弹幕分析命中：歌词弹幕确认 + 歌切合集分P章节《第一只小兔子》。
2026-08-20,cut-title-date,20260820,二人セゾン,collection-chapter-title,乃木坂46,collection-chapter,14，《二人セゾン》,【小松绿Viridis/歌回】20260820-偶像歌回？欸,https://www.bilibili.com/video/BV1WS8c6XE9w/?p=14,BV1WS8c6XE9w,我家的清风薄荷冰茶,4:12,"""小松绿Viridis/歌回"" ""20260820""",2026-08-20::二人セゾン,primary,,2026-08-20T16:21:25.502Z,8/20偶像歌回弹幕分析命中：歌词弹幕确认 + 歌切合集分P章节《二人セゾン》。
2026-08-20,manual-normalized,2026-08-20（歌切内容判定）,光景,title-song-name,篠澤広（初星学園）,single,,【小松绿Viridis/歌切】光景,https://www.bilibili.com/video/BV1tk8c6tEFS/,BV1tk8c6tEFS,华丽失败酱,04:31,小松绿Viridis 歌切（搜索定位）,2026-08-20::光景,secondary,https://www.bilibili.com/video/BV1WS8c6XE9w/?p=9,2026-08-29T06:30:00.000Z,08-20 20:05(UTC+8)发布（当场直播中）。
2026-08-20,cut-title-date,20260820,光景,collection-chapter-title,篠澤広（初星学園）,collection-chapter,9，《光景》,【小松绿Viridis/歌回】20260820-偶像歌回？欸,https://www.bilibili.com/video/BV1WS8c6XE9w/?p=9,BV1WS8c6XE9w,我家的清风薄荷冰茶,4:00,"""小松绿Viridis/歌回"" ""20260820""",2026-08-20::光景,primary,,2026-08-20T16:21:25.502Z,8/20偶像歌回弹幕分析命中：歌词弹幕确认 + 歌切合集分P章节《光景》。
2026-08-20,cut-title-date,20260820,少女レイ,collection-chapter-title,みきとP / 初音ミク,collection-chapter,19，《少女レイ》,【小松绿Viridis/歌回】20260820-偶像歌回？欸,https://www.bilibili.com/video/BV1WS8c6XE9w/?p=19,BV1WS8c6XE9w,我家的清风薄荷冰茶,4:00,"""小松绿Viridis/歌回"" ""20260820""",2026-08-20::少女レイ,primary,,2026-08-20T16:21:25.502Z,8/20偶像歌回弹幕分析命中：歌词弹幕确认 + 歌切合集分P章节《少女レイ》。
2026-08-20,cut-title-date,20260820,私、アイドル宣言,collection-chapter-title,HoneyWorks（CHiCO with HoneyWorks）,collection-chapter,4，《私、アイドル宣言》,【小松绿Viridis/歌回】20260820-偶像歌回？欸,https://www.bilibili.com/video/BV1WS8c6XE9w/?p=4,BV1WS8c6XE9w,我家的清风薄荷冰茶,4:24,"""小松绿Viridis/歌回"" ""20260820""",2026-08-20::私、アイドル宣言,primary,,2026-08-20T16:21:25.502Z,8/20偶像歌回弹幕分析命中：歌词弹幕确认 + 歌切合集分P章节《私、アイドル宣言》。
2026-08-20,cut-title-date,20260820,私のSymphony,collection-chapter-title,Liella!（澁谷かのん）,collection-chapter,11，《私のSymphony》,【小松绿Viridis/歌回】20260820-偶像歌回？欸,https://www.bilibili.com/video/BV1WS8c6XE9w/?p=11,BV1WS8c6XE9w,我家的清风薄荷冰茶,3:54,"""小松绿Viridis/歌回"" ""20260820""",2026-08-20::私のSymphony,primary,,2026-08-20T16:21:25.502Z,8/20偶像歌回弹幕分析命中：歌词弹幕确认 + 歌切合集分P章节《私のSymphony》。
2026-08-20,cut-title-date,20260820,夜蝶,collection-chapter-title,SNH48（李艺彤/黄婷婷）,collection-chapter,8，《夜蝶》,【小松绿Viridis/歌回】20260820-偶像歌回？欸,https://www.bilibili.com/video/BV1WS8c6XE9w/?p=8,BV1WS8c6XE9w,我家的清风薄荷冰茶,4:00,"""小松绿Viridis/歌回"" ""20260820""",2026-08-20::夜蝶,primary,,2026-08-20T16:21:25.502Z,8/20偶像歌回弹幕分析命中：歌词弹幕确认 + 歌切合集分P章节《夜蝶》。
2026-08-20,manual-normalized,2026-08-20（歌切内容判定）,夜蝶,title-song-name,SNH48（李艺彤/黄婷婷）,single,,【小松绿Viridis/歌切】夜蝶,https://www.bilibili.com/video/BV1yS8c6XEbe/,BV1yS8c6XEbe,华丽失败酱,03:59,小松绿Viridis 歌切（搜索定位）,2026-08-20::夜蝶,secondary,https://www.bilibili.com/video/BV1WS8c6XE9w/?p=8,2026-08-29T06:30:00.000Z,08-20 19:56(UTC+8)发布（当场直播中）。
2026-08-20,cut-title-date,20260820,纸星瓶,collection-chapter-title,海蓝色 / 星尘,collection-chapter,sp1-纸星瓶,绿考子必看！偶像主题歌回全切合集，一次听个爽！【小松绿Viridis｜歌切】,https://www.bilibili.com/video/BV1EC8w62EAD/?p=19,BV1EC8w62EAD,Justice-Wen,2:13,"""小松绿Viridis/歌切"" ""20260820""",2026-08-20::纸星瓶,primary,,2026-08-21T19:21:33.039Z,8/20偶像歌回安可曲补录：Justice-Wen 合集 BV1EC8w62EAD sp1 章节《纸星瓶》（duration=133 秒），弹幕 13:19-13:21 UTC 命中歌词「所有念与想　叠作纸星瓶装」，当日确实演唱。
2026-08-20,cut-title-date,20260820,CHASE!,collection-chapter-title,優木せつ菜（楠木灯）,collection-chapter,2，《CHASE!》,【小松绿Viridis/歌回】20260820-偶像歌回？欸,https://www.bilibili.com/video/BV1WS8c6XE9w/?p=2,BV1WS8c6XE9w,我家的清风薄荷冰茶,4:13,"""小松绿Viridis/歌回"" ""20260820""",2026-08-20::CHASE!,primary,,2026-08-20T16:21:25.502Z,8/20偶像歌回弹幕分析命中：歌词弹幕确认 + 歌切合集分P章节《CHASE!》。
2026-08-20,cut-title-date,20260820,flos,collection-chapter-title,R Sound Design（初音ミク）,collection-chapter,18，《flos》,【小松绿Viridis/歌回】20260820-偶像歌回？欸,https://www.bilibili.com/video/BV1WS8c6XE9w/?p=18,BV1WS8c6XE9w,我家的清风薄荷冰茶,4:00,"""小松绿Viridis/歌回"" ""20260820""",2026-08-20::flos,primary,,2026-08-20T16:21:25.502Z,8/20偶像歌回弹幕分析命中：歌词弹幕确认 + 歌切合集分P章节《flos》。
2026-08-20,cut-title-date,20260820,Fly me to the star,collection-chapter-title,九九组（少女歌剧）,collection-chapter,15，《Fly me to the star》,【小松绿Viridis/歌回】20260820-偶像歌回？欸,https://www.bilibili.com/video/BV1WS8c6XE9w/?p=15,BV1WS8c6XE9w,我家的清风薄荷冰茶,3:30,"""小松绿Viridis/歌回"" ""20260820""",2026-08-20::Fly me to the star,primary,,2026-08-20T16:21:25.502Z,8/20偶像歌回弹幕分析命中：歌词弹幕确认 + 歌切合集分P章节《Fly me to the star》。
2026-08-20,cut-title-date,20260820,I LOVE U,collection-chapter-title,洛天依（阿良良木健）,collection-chapter,17，《I LOVE U》,【小松绿Viridis/歌回】20260820-偶像歌回？欸,https://www.bilibili.com/video/BV1WS8c6XE9w/?p=17,BV1WS8c6XE9w,我家的清风薄荷冰茶,4:00,"""小松绿Viridis/歌回"" ""20260820""",2026-08-20::I LOVE U,primary,,2026-08-20T16:21:25.502Z,8/20偶像歌回弹幕分析命中：歌词弹幕确认 + 歌切合集分P章节《I LOVE U》。
2026-08-20,cut-title-date,20260820,MORE JUMP MORE!,collection-chapter-title,MORE MORE JUMP！,collection-chapter,3，《MORE JUMP MORE!》,【小松绿Viridis/歌回】20260820-偶像歌回？欸,https://www.bilibili.com/video/BV1WS8c6XE9w/?p=3,BV1WS8c6XE9w,我家的清风薄荷冰茶,3:01,"""小松绿Viridis/歌回"" ""20260820""",2026-08-20::MORE JUMP MORE!,primary,,2026-08-20T16:21:25.502Z,8/20偶像歌回弹幕分析命中：歌词弹幕确认 + 歌切合集分P章节《MORE JUMP MORE!》。
2026-08-20,cut-title-date,20260820,SOS,collection-chapter-title,黛冬優子（偶像大师 闪耀色彩）,collection-chapter,10，《SOS》,【小松绿Viridis/歌回】20260820-偶像歌回？欸,https://www.bilibili.com/video/BV1WS8c6XE9w/?p=10,BV1WS8c6XE9w,我家的清风薄荷冰茶,4:00,"""小松绿Viridis/歌回"" ""20260820""",2026-08-20::SOS,primary,,2026-08-20T16:21:25.502Z,8/20偶像歌回弹幕分析命中：歌词弹幕确认 + 歌切合集分P章节《SOS》。
2026-08-20,cut-title-date,20260820,Starlight Prologue,collection-chapter-title,Liella!,collection-chapter,12，《Starlight Prologue》,【小松绿Viridis/歌回】20260820-偶像歌回？欸,https://www.bilibili.com/video/BV1WS8c6XE9w/?p=12,BV1WS8c6XE9w,我家的清风薄荷冰茶,4:00,"""小松绿Viridis/歌回"" ""20260820""",2026-08-20::Starlight Prologue,primary,,2026-08-20T16:21:25.502Z,8/20偶像歌回弹幕分析命中：歌词弹幕确认 + 歌切合集分P章节《Starlight Prologue》。
2026-08-20,cut-title-date,20260820,START:DASH!!!,collection-chapter-title,μ's,collection-chapter,1，《START:DASH!!!》,【小松绿Viridis/歌回】20260820-偶像歌回？欸,https://www.bilibili.com/video/BV1WS8c6XE9w/?p=1,BV1WS8c6XE9w,我家的清风薄荷冰茶,4:11,"""小松绿Viridis/歌回"" ""20260820""",2026-08-20::START:DASH!!!,primary,,2026-08-20T16:21:25.501Z,8/20偶像歌回弹幕分析命中：歌词弹幕确认 + 歌切合集分P章节《START:DASH!!!》。
2026-08-20,cut-title-date,20260820,Virtual to LIVE,collection-chapter-title,にじさんじ,collection-chapter,16，《Virtual to LIVE》,【小松绿Viridis/歌回】20260820-偶像歌回？欸,https://www.bilibili.com/video/BV1WS8c6XE9w/?p=16,BV1WS8c6XE9w,我家的清风薄荷冰茶,4:00,"""小松绿Viridis/歌回"" ""20260820""",2026-08-20::Virtual to LIVE,primary,,2026-08-20T16:21:25.502Z,8/20偶像歌回弹幕分析命中：歌词弹幕确认 + 歌切合集分P章节《Virtual to LIVE》。
2026-08-20,cut-title-date,20260820,アイドル,collection-chapter-title,YOASOBI,collection-chapter,13，《アイドル》,【小松绿Viridis/歌回】20260820-偶像歌回？欸,https://www.bilibili.com/video/BV1WS8c6XE9w/?p=13,BV1WS8c6XE9w,我家的清风薄荷冰茶,3:36,"""小松绿Viridis/歌回"" ""20260820""",2026-08-20::アイドル,primary,,2026-08-20T16:21:25.502Z,8/20偶像歌回弹幕分析命中：歌词弹幕确认 + 歌切合集分P章节《アイドル》。
2026-08-20,cut-title-date,20260820,おともだち,collection-chapter-title,ファントムシータ,collection-chapter,5，《おともだち》,【小松绿Viridis/歌回】20260820-偶像歌回？欸,https://www.bilibili.com/video/BV1WS8c6XE9w/?p=5,BV1WS8c6XE9w,我家的清风薄荷冰茶,2:55,"""小松绿Viridis/歌回"" ""20260820""",2026-08-20::おともだち,primary,,2026-08-20T16:21:25.502Z,8/20偶像歌回弹幕分析命中：歌词弹幕确认 + 歌切合集分P章节《おともだち》。
2026-08-18,collection-title-date,8月18日歌切合集,爱情讯息,collection-chapter-title,,compilation,6-爱情讯息,【663645TV】神回！我已启动！全力绿来唱完了！8月18日歌切合集【小松绿Viridis】,https://www.bilibili.com/video/BV1rv8V6DExk/,BV1rv8V6DExk,银河的鱼,04:39,合集页 pages 数组提取 + 直链页面 HTML,2026-08-18::爱情讯息,primary,,2026-08-20T12:40:00.000Z,直接解析 8月18日歌切合集页面 HTML 内嵌 pages 数组，命中 chapter_title=6-爱情讯息，duration=279 秒。按用户允许的合集章节规则，可用该合集页作为爱情讯息的明确对应 cut_link。
2026-08-18,collection-title-date,8月18日歌切合集,都落ち,collection-chapter-title,,compilation,9-都落ち,【663645TV】神回！我已启动！全力绿来唱完了！8月18日歌切合集【小松绿Viridis】,https://www.bilibili.com/video/BV1rv8V6DExk/,BV1rv8V6DExk,银河的鱼,04:15,合集页 pages 数组提取 + 直链页面 HTML,2026-08-18::都落ち,primary,,2026-08-20T08:42:51.125Z,直接解析 8月18日歌切合集页面 HTML 内嵌 pages 数组，命中 chapter_title=9-都落ち，duration=255 秒。按用户允许的合集章节规则，可用该合集页作为 都落ち 的明确对应 cut_link。
2026-08-18,collection-title-date,8月18日歌切合集,繁华唱遍,collection-chapter-title,,compilation,7-繁华唱遍,【663645TV】神回！我已启动！全力绿来唱完了！8月18日歌切合集【小松绿Viridis】,https://www.bilibili.com/video/BV1rv8V6DExk/,BV1rv8V6DExk,银河的鱼,04:01,合集页 pages 数组提取 + 直链页面 HTML,2026-08-18::繁华唱遍,primary,,2026-08-20T12:40:00.000Z,直接解析 8月18日歌切合集页面 HTML 内嵌 pages 数组，命中 chapter_title=7-繁华唱遍，duration=241 秒。按用户允许的合集章节规则，可用该合集页作为繁华唱遍的明确对应 cut_link。
2026-08-18,manual-normalized,2026-08-18（歌切内容判定）,繁华唱遍,title-song-name,纯白 / 乐正绫,single,,【小松绿Viridis/歌切】繁华唱遍,https://www.bilibili.com/video/BV1rY8365EUY/,BV1rY8365EUY,天才美少女索菲,04:01,小松绿Viridis 歌切（搜索定位）,2026-08-18::繁华唱遍,secondary,https://www.bilibili.com/video/BV1rv8V6DExk/,2026-08-29T06:30:00.000Z,08-18 22:45(UTC+8)发布。
2026-08-18,collection-title-date,8月18日歌切合集,風になる,collection-chapter-title,,compilation,11-風になる,【663645TV】神回！我已启动！全力绿来唱完了！8月18日歌切合集【小松绿Viridis】,https://www.bilibili.com/video/BV1rv8V6DExk/,BV1rv8V6DExk,银河的鱼,04:36,合集页 pages 数组提取 + 直链页面 HTML,2026-08-18::風になる,primary,,2026-08-20T08:42:51.125Z,直接解析 8月18日歌切合集页面 HTML 内嵌 pages 数组，命中 chapter_title=11-風になる，duration=276 秒。按用户允许的合集章节规则，可用该合集页作为 風になる 的明确对应 cut_link。
2026-08-18,manual-normalized,2026-08-18（歌切内容判定）,蝴蝶,title-song-name,初音ミク / 古川本舗,single,,【小松绿Viridis】 蝴蝶,https://www.bilibili.com/video/BV1Kt8i6REvs/,BV1Kt8i6REvs,忆夏追凉,03:43,小松绿Viridis 歌切（搜索定位）,2026-08-18::蝴蝶,secondary,https://www.bilibili.com/video/BV1rv8V6DExk/,2026-08-29T06:30:00.000Z,08-21 19:35(UTC+8)发布；蝴蝶在08-15与08-18场均唱，按忆夏切片聚类归08-18，待复核。
2026-08-18,collection-title-date,8月18日歌切合集,蝴蝶,collection-chapter-title,,compilation,20-蝴蝶,【663645TV】神回！我已启动！全力绿来唱完了！8月18日歌切合集【小松绿Viridis】,https://www.bilibili.com/video/BV1rv8V6DExk/,BV1rv8V6DExk,银河的鱼,03:37,合集页 pages 数组提取 + 直链页面 HTML,2026-08-18::蝴蝶,primary,,2026-08-20T08:42:51.125Z,直接解析 8月18日歌切合集页面 HTML 内嵌 pages 数组，命中 chapter_title=20-蝴蝶，duration=217 秒。按用户允许的合集章节规则，可用该合集页作为 蝴蝶 的明确对应 cut_link。
